location,population,TotalInfections,PercentInfectedPeople,TotalDeaths,DeathRate
Europe,744807803,252916868,33.96,2102377,300
South America,436816679,68809418,15.75,1357619,7.66
Africa,1426736614,13145380,0.92,259121,6.76
North America,600323657,124492666,20.74,1671512,6.56
Oceania,45038860,15003352,33.31,33024,5.33
Asia,4721383370,301499099,6.39,1637335,4.23
